review_id,flight_id,route_id,review_date,nps_score,sentiment,review_text,language,source
REV000001,FLT00001,R001,2025-01-01,5,neutral,Entertainment options limited on this aircraft type. Otherwise acceptable.,en,TripAdvisor
REV000002,FLT00001,R001,2025-01-01,7,neutral,Food could be better. Flight was on time though.,en,Email Survey
REV000003,FLT00002,R002,2025-01-01,9,positive,"Vol agréable, divertissement à bord varié. On se sent vraiment bien traité.",fr,TripAdvisor
REV000004,FLT00002,R002,2025-01-01,9,positive,"Embarquement fluide, équipage souriant, vol parfait du début à la fin.",fr,Email Survey
REV000005,FLT00002,R002,2025-01-01,10,positive,Booked through the app and everything worked seamlessly.,en,Web
REV000006,FLT00003,R003,2025-01-01,9,positive,"Vol matinal très ponctuel, idéal pour les voyages d'affaires.",fr,Web
REV000007,FLT00003,R003,2025-01-01,10,positive,"Service impeccable, départ à l'heure. Bravo à l'équipage d'Air Côte d'Ivoire.",fr,TripAdvisor
REV000008,FLT00003,R003,2025-01-01,2,negative,Meal was inedible. Vegetarian option was just a piece of bread.,en,Email Survey
REV000009,FLT00003,R003,2025-01-01,9,positive,"Le nouveau A330 est superbe, sièges confortables même en éco.",fr,Web
REV000010,FLT00004,R004,2025-01-01,7,neutral,The flight was okay. Nothing special but nothing bad either.,en,TripAdvisor
REV000011,FLT00004,R004,2025-01-01,6,neutral,Lounge in CDG was crowded but the flight crew was helpful.,en,App
REV000012,FLT00004,R004,2025-01-01,10,positive,Premium economy seat was worth every dollar on the long-haul.,en,App
REV000013,FLT00004,R004,2025-01-01,7,neutral,Lounge in CDG was crowded but the flight crew was helpful.,en,Email Survey
REV000014,FLT00004,R004,2025-01-01,6,neutral,"Vol correct, rien d'exceptionnel. Le service est moyen.",fr,App
REV000015,FLT00005,R004,2025-01-01,5,negative,Cabin was overheated for the entire flight. No working AC.,en,App
REV000016,FLT00006,R005,2025-01-01,3,negative,Meal was inedible. Vegetarian option was just a piece of bread. Recurring issue: baggage frequently mishandled on the Dakar line.,en,Web
REV000017,FLT00006,R005,2025-01-01,9,positive,"Repas africain délicieux à bord, vraie touche locale appréciable.",fr,Web
REV000018,FLT00006,R005,2025-01-01,5,neutral,Seat was a bit cramped but the crew was friendly. Average experience.,en,Web
REV000019,FLT00006,R005,2025-01-01,8,positive,Booked through the app and everything worked seamlessly.,en,TripAdvisor
REV000020,FLT00006,R005,2025-01-01,8,positive,"Great connection between ABJ and CDG, comparable to European carriers.",en,App
