ticket_id,customer_id,route_id,open_date,category,description,sentiment,status,resolution_days,csat_score
TKT000001,CUST0219,R009,2025-01-10,Flight Delay,Flight delayed with no notification sent to passengers.,negative,Resolved,2,5
TKT000002,CUST0085,R009,2024-12-16,Onboard Experience,Choice of vegetarian meals very limited compared to competitors.,neutral,Open,,
TKT000003,CUST0213,R008,2024-10-09,Refund,Vol annulé par la compagnie mais pas de remboursement proposé.,negative,Resolved,10,5
TKT000004,CUST0045,R001,2025-01-30,Customer Service,Twitter team responded but did not resolve the issue.,negative,Resolved,13,5
TKT000005,CUST0283,R006,2024-10-29,Customer Service,Phone support kept me on hold for 45 minutes.,negative,Resolved,8,1
TKT000006,CUST0100,R009,2024-10-17,Flight Delay,3-hour tarmac delay with no air conditioning.,negative,Resolved,7,1
TKT000007,CUST0134,R003,2024-12-04,Customer Service,Agent au sol très impoli et peu serviable.,negative,Resolved,4,2
TKT000008,CUST0157,R010,2024-10-30,Booking Issue,"Erreur lors du paiement, deux billets émis.",negative,Resolved,9,5
TKT000009,CUST0167,R006,2025-01-15,Baggage,Bagage cabine refusé à l'embarquement sans justification.,negative,Open,,
TKT000010,CUST0119,R009,2025-01-20,Onboard Experience,Seat recline broken. Crew ignored my request.,neutral,Resolved,11,1
TKT000011,CUST0021,R004,2025-01-20,Baggage,Still waiting for delayed baggage from 3 days ago.,negative,Open,,
TKT000012,CUST0222,R002,2024-12-23,Baggage,Baggage damaged on arrival. Wheel broken and zipper torn.,negative,Resolved,11,3
TKT000013,CUST0223,R002,2024-11-03,Onboard Experience,"Écran d'écran cassé, pas de divertissement disponible.",negative,Resolved,12,2
TKT000014,CUST0097,R011,2025-01-05,Baggage,Still waiting for delayed baggage from 3 days ago.,negative,Resolved,9,5
TKT000015,CUST0261,R012,2025-01-16,Onboard Experience,"Écran d'écran cassé, pas de divertissement disponible.",negative,Resolved,2,3
TKT000016,CUST0026,R004,2024-11-30,Baggage,Frais d'excédent bagage facturés deux fois sur ma carte.,negative,Resolved,6,5
TKT000017,CUST0261,R006,2024-12-07,Onboard Experience,"Écran d'écran cassé, pas de divertissement disponible.",neutral,Resolved,1,1
TKT000018,CUST0057,R009,2024-12-03,Flight Delay,Mon vol a été retardé de 4 heures. Aucun repas fourni.,negative,Resolved,11,1
TKT000019,CUST0053,R010,2024-12-15,Baggage,Baggage damaged on arrival. Wheel broken and zipper torn.,negative,Open,,
TKT000020,CUST0250,R006,2025-01-31,Baggage,Lost my hand luggage during boarding. Customer service unhelpful.,negative,Open,,
TKT000021,CUST0036,R011,2025-01-13,Refund,"Compensation EU261 demandée pour vol retardé, sans réponse.",negative,Open,,
TKT000022,CUST0286,R008,2024-12-02,Refund,"Compensation EU261 demandée pour vol retardé, sans réponse.",negative,Resolved,7,5
TKT000023,CUST0257,R011,2024-11-07,Refund,Voucher reçu au lieu du remboursement promis.,negative,Open,,
TKT000024,CUST0177,R005,2025-01-13,Refund,Vol annulé par la compagnie mais pas de remboursement proposé.,negative,Resolved,2,3
TKT000025,CUST0222,R005,2024-10-26,Customer Service,Promise de rappel non tenue après ma plainte initiale.,negative,Resolved,11,5
TKT000026,CUST0222,R006,2024-10-17,Flight Delay,Vol retardé plusieurs fois sur ce mois. Inacceptable.,negative,Resolved,8,5
TKT000027,CUST0048,R009,2024-11-10,Booking Issue,"Erreur lors du paiement, deux billets émis.",negative,Resolved,10,3
TKT000028,CUST0119,R010,2025-01-04,Flight Delay,3-hour tarmac delay with no air conditioning.,negative,Resolved,10,4
TKT000029,CUST0024,R001,2024-10-12,Flight Delay,Missed connecting flight due to Air CI delay. Need compensation.,negative,Resolved,3,5
TKT000030,CUST0240,R005,2024-12-17,Flight Delay,Flight delayed with no notification sent to passengers.,negative,Resolved,14,4
TKT000031,CUST0279,R004,2024-12-16,Customer Service,Agent au sol très impoli et peu serviable.,negative,Resolved,13,2
TKT000032,CUST0058,R004,2024-11-02,Flight Delay,Vol systématiquement en retard le matin sur cette ligne.,negative,Resolved,7,2
TKT000033,CUST0180,R012,2024-11-29,Flight Delay,Flight delayed with no notification sent to passengers.,negative,Resolved,2,4
TKT000034,CUST0113,R001,2024-10-13,Booking Issue,Impossible de modifier ma réservation en ligne.,neutral,Open,,
TKT000035,CUST0243,R006,2024-12-27,Booking Issue,Double-charged for seat selection. Please refund.,neutral,Resolved,10,2
TKT000036,CUST0271,R009,2025-01-04,Baggage,Baggage damaged on arrival. Wheel broken and zipper torn.,negative,Resolved,1,3
TKT000037,CUST0087,R004,2024-12-14,Flight Delay,Missed connecting flight due to Air CI delay. Need compensation.,negative,Resolved,7,3
TKT000038,CUST0171,R009,2025-01-28,Refund,Requested refund 30 days ago. No update from the airline.,negative,Resolved,13,3
TKT000039,CUST0008,R006,2024-11-27,Flight Delay,3-hour tarmac delay with no air conditioning.,negative,Resolved,1,2
TKT000040,CUST0282,R008,2024-11-24,Flight Delay,Aucune information donnée pendant l'attente prolongée en salle d'embarquement.,negative,Resolved,8,4
TKT000041,CUST0194,R011,2024-10-20,Onboard Experience,Repas de très mauvaise qualité sur le vol ABJ-CDG.,neutral,Resolved,10,5
TKT000042,CUST0138,R006,2024-12-02,Onboard Experience,Repas de très mauvaise qualité sur le vol ABJ-CDG.,neutral,Resolved,3,3
TKT000043,CUST0037,R001,2025-01-12,Flight Delay,3-hour tarmac delay with no air conditioning.,negative,Open,,
TKT000044,CUST0246,R005,2024-11-06,Baggage,Still waiting for delayed baggage from 3 days ago.,negative,Resolved,10,5
TKT000045,CUST0209,R007,2025-01-01,Onboard Experience,Choice of vegetarian meals very limited compared to competitors.,negative,Resolved,8,5
TKT000046,CUST0277,R005,2024-11-14,Flight Delay,Aucune information donnée pendant l'attente prolongée en salle d'embarquement.,negative,Resolved,5,3
TKT000047,CUST0001,R009,2025-01-04,Baggage,Mes bagages n'ont pas été livrés à l'arrivée.,negative,Resolved,3,1
TKT000048,CUST0002,R010,2025-01-01,Booking Issue,Upgrade not applied despite payment confirmation.,neutral,Resolved,12,3
